제목,연수 분야,시간,후기,별점,날짜,가격
큰별쌤 최태성의 별★별한국사,교과지도,30,학생들 역사를 가르치며 궁금했던 내용들까지 알 수 있었습니다. 감사합니다.^^,5,2024-02-13,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,우리나라의 역사를 알기 쉽게 20분 내외의 강의로 풀어주어서 좋았답니다. 또 필요한 내용을 콕콕콕! 교안에 담긴 내용을 보면서 메모하며 듣기에도 어려움이 없게 진행해 주고 본 강의가 끝나고 팁처럼 별별 특강도 너무 귀에 쏙쏙 들어왔답니다. 한국사의 흐름을 알고자 하는 마음으로 들었는데 퀴즈를 풀 때는 살짝 헷갈리기도 했지만 다시 한 번 정리한다는 마음으로 하니 그것 또한 나름의 방법이라 도움이 많이 되었답니다. 오랜만에 들어본 한국사 강의 잘 들었습니다.,5,2024-02-05,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,최태성선생님의 역사 강의는 역사를 왜 배워야 하는지를 알게 해 주는 알게 해주는 강의 입니다. 과거의 이야기를 통해 현재를 보고 미래를 준비하게 해 줍니다. 선생님이라면 모두 한 번 들어 볼 만한 ~ 시간이 훅~ 가는 강의!,5,2024-01-28,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,5학년 학생들 역사 학습을 조금 더 실감나고 체계적으로 가르칠 수 있게 될 것 같습니다. 덕분에 한국사의 흐름을 잘 익힐 수 있었던 계기가 되었습니다. 초등학생 자녀도 함께 들으면서 같이 공부하였습니다. 교재는 자녀가 읽어도 좋을 것 같아요. 여러모로 유용한 연수였습니다.,5,2024-01-27,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,이해가 쏙쏙 재미있고 유익해서 많은 도움이 되었습니다.,5,2024-01-25,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,한국사 검정시험을 위해 만났었던 큰별쌤을 방학동안 아이들과 함께 역사를 정확하게 배우면 좋겠다고 생각하고 다시 신청을 하게 되었습니다. 아이들과 한강의 한강의 들으면서참 역사에 무임승차 하지 않기 위해 현재 우리는 어떻게 살아야 할지...고민하면서 듣게 되는 강의였습니다. 여러 내용은 시간이 지나가면서 많이 잊어버리더라도 나중에 또 다시 듣고 싶은 강의입니다. 많은 선생님들이 듣고 역사에 대해 다시 생각해 보시는 기회가 되시길 소망합니다.,5,2024-01-24,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,"'최소한의 한국사' 책을 읽고는 한국사에 관심이 가서 강의 신청해서 듣게 되었습니다. 학교 다닐 때는 그렇게 싫어하고 힘들어 했던 한국사인데 20분 가량의 적절한 귀에 쏙 들어오는 강연, 2분 가량의 추가 설명되는 별별강의까지... 분량과 질까지... 너~~~무 만족스러운 연수였습니다.",5,2024-01-22,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,"아 뭐라고 해야 하지 암튼 이거 완전 대박이예요!! 저는 선생님은 아니고 선생님 계정으로 듣고 있는 12년생인데 한자어 등 어려운 부분이 없는 것은 아니었지만 그래도 최태성 선생님이 쉽게 풀어 주셔서 정말 좋았어요! 들으면서 노트 정리하기에도 완전 좋고 인트로, 특강, 퀴즈, 학습정리 등 1분 안에 끝낼 수 있는 짤막 맛있는 자잘이 별별 강의들도 있어서 정말정말 도움이 되었어요. 한국사를 알긴 했지만 부분적으로 알고 있었는데 이렇게 구석기 시대부터 미래의 통일까지 한 번에 쭉 돌아볼 수 있어서 너무 좋았구요. 보통 역사 책 or 강의들은 6.25 전쟁으로 끝이 나는데 경제 발전과 민주주의, 통일까지 알아볼 수 있어서 유익했어요. 선생님 입담도 재미있고 처음 듣는 정보들도 많았어요. 20분 남짓한 강의였지만 집중해서 들을 수 있는 엄청난 퀄리티! 더더더 듣고 싶어요 정말 들어 보면 알아요!! 다음에는 최근에 관심이 생긴 중국사도 재미있게 풀어 주시면 좋겠어요",5,2024-01-17,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,감사합니다. 정말 감사합니다.,5,2024-01-15,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,역사 공부에 많은 도움이 되었습니다. 계속 반복해서 듣고 있어요~,5,2024-01-15,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,"지금껏 고학년 위주로 수업을 했었는데, 이번 연수를 계기로 조금 더 자신 있게 사회 수업을 할 수 있을 것 같습니다. 유익한 연수였습니다~",5,2024-01-09,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,수업을 하기에 앞서 듣는 수업이 참 도움이 많이 되었다.,5,2024-01-08,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,잘 알지 못했던 예술가 들의 작품과 그들의 예술관에 대해 알게 되어 서양미술사를 이해하는데 도움이 되었다. 여행을 가면 꼭 그 지역의 미술관을 들리는데 작품을 이애하는데 도움이 될 것 같음,5,2023-12-28,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,늘 믿고 듣는 최태성 선생님 연수 너무 잘 들었습니다.,5,2023-12-26,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,최태성 선생님 역사 강의를 너무 좋아하는 사람으로서 선생님 강의는 언제 들어도 재미있고 감동적인 것 같습니다. 역사를 알아야 새로운 미래를 그릴 수 있다는 말이 맞는 것 같아요. 우리 나라의 발전과 나의 발전을 위해 역사를 알고 그 의미를 딛고 나아가야할 것 같습니다. 좋은 강의 감사합니다.,5,2023-12-25,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,이해하기 쉽게 알려주셔서 다시 역사 흐름을 잡을 수 있었고 아이들 가르칠 때도 미리 공부하고 가르치면 좋습니다.,5,2023-12-24,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,강추입니다. 교재를 함께 보며 공부하니 참으로 좋아요,5,2023-12-22,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,최태성 강사님 너무 말씀을 재미있게 잘 하세요!,5,2023-12-22,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,방학 때 다시 복습하며 기억할게요,5,2023-12-21,75000
큰별쌤 최태성의 별★별한국사,교과지도,30,한 시대만 보면 재미있고 다 알 것 같은데 섞어 놓으면 정리가 안되어 다시한번 도전해 보았다.,5,2023-12-21,75000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,"교실에 있는 스마트 기기를 어느 정도 사용한다고 생각했는데, 이 연수를 통해 보다 더 많은 사용 방법을 알게 되었고, 수업에 필요성 또한 느끼게 되었습니다.",5,2024-06-12,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,에듀테크 수업에 정말 필요한 연수입니다. 더 공부하고 싶습니다.,5,2024-06-11,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,교육 현장에 들어오는 스마트 기기를 활용하여 연수를 받고 직접 적용해 볼 수 있었서 좋았습니다.,5,2024-05-29,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,유익한 내용이 많았습니다. 고맙습니다.,5,2024-05-23,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,제작이라는 건 감히 생각도 못해보았는데 차근차근 설명해 주시는 강사 선생님들의 성의 있는 태도와 새로운 도전을 해 볼 수 있는 기회를 주신 것에 감사드립니다. 아~~ 만드는 것도 별게 아니구나 하는 자신감도 생기도 호기심도 생겼습니다. AI등 최근에 디지털 수업을 잘 이끌 수 있는 자신감도 업 되었습니다. 감사합니다.,5,2024-05-17,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,교실에서 스마트 기기를 활용하는데 도움이 되었습니다.,5,2024-05-05,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,스마트기기를 활용하여 좀더 재미있고 알찬 수업을 준비하는데 많은 도움이 될 것 같다.,5,2024-04-25,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,이제는 에듀테크 없이는 수업이 어려울 듯. 하루라도 빨리 배우세요,5,2024-04-18,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,스스로 기계와 친한 사람이 아니다보니 빠르게 변해보는 스마트 교육 환경에 뒤떨어지고 있다는 생각을 하고 있었습니다. 이번 연수를 통해 스마트 기기를 활용한 수업에 대한 여러 가지 꿀팁과 아이디어를 얻어갈 수 있게 되어 유익했습니다. 감사합니다.,5,2024-04-15,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,정리를 잘하면 새로운 공간이 생기고 마음의 여유까지 생기는 것 같습니다 유용하고 간단한 쿨팁 잘 배워갑니다,5,2024-04-12,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,좋은 콘텐츠로 구성된 연수 덕분에 많은 도움이 되었습니다 앞으로도 지속적으로 연수 부탁드립니다,5,2024-04-04,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,스마트패드 활용할때 유익합니다,5,2024-03-13,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,스마트 기기를 활용할 수업이 많아지고 있어 유용합니다.,5,2024-02-19,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,"교실에서 활용할 수 있는 스마트기기가 이렇게 많은 줄 몰랐는데 본 연수를 통해 다양한 스마트기기, 애플리케이션 종류를 알게되었습니다.",5,2024-02-05,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,교실에 준비되어 있는 패드와 아이들이 이미 익히고 있는 프로그램들을 이용해볼 수 있는 방법들이 제시되어 좋았습니다.^^,5,2023-12-26,50000
교실에서 바로 적용하는 스마트기기 활용 수업,학습지도,15,다양한 컴퓨터(테블릿 pc) 기반 프로그램을 소개받고 활용할 수 있어서 좋았습니다. 연수 자체는 도움이 되나 연수 자료 pdf가 형식적이라는 인상을 받았습니다. 한 번 듣고 흘려 버리기 보다는 필요할 때 프로그램의 조작이나 핵심 기능을 안내받을 수 있도록 자료 pdf에 자세한 내용이 포함되어 있으면 연수 끝나고 나서도 큰 도움이 될 것 같습니다. 자세한 자료가 제공되지 않아서 연수 받을 때 프로그램을 따라 해 보면서 내용을 받아 적으려다 보니 어려움이 많았습니다.,5,2023-12-23,50000
통합교육의 거의 모든 것,생활지도,30,유익했던 연수였습니다.,5,2024-06-12,75000
통합교육의 거의 모든 것,생활지도,30,통합학급을 맡은 담임으로서 기본적인 이해와 교육적 적용법을 익힐 수 있는 시간이었습니다.,5,2024-06-12,75000
통합교육의 거의 모든 것,생활지도,30,"처음으로 특수 학급 학생을 맡으면서 너무 힘들었고 의문이 계속 생겼습니다. 1. 이 학생의 상황을 장애라고 직접적으로 표현하지 않고 일반 학생들에게 어떻게 이해시켜야 하나? 2. 장애 학생이 일반 학교, 통합 학급에서 공부하는 것이 과연 도움이 될까? 3. 일반 학생들에게 피해만 주고 역차별이 되는 것이 아닐까? 4. 이 특수 학생이 학교에 나와서 배우는 것이 무엇이 있을까? 5. 이 특수 학생은 나중에 커서 어떻게 살아갈까? 6. 어려운 수업 내용을 어떻게 동시에 같이 수업을 할 수 있을까? 7. 일반 학부모에게 이 학생에 대해서 어떻게 설명해야 할까? 8. 도움반 교사와 담임 교사 중 누가 주로 책임을 져야 할까? 9. 국가에서, 교육청에서 장애 학생에게 어떤 지원을 해주는가? 10. 어린 아가처럼 달래면서 가르쳐야 하는가? 아니면 단호하게 일반 학생들처럼 지도해야 하는가? 11. 장애 학생의 학부모에게 어떻게 학부모 교육을 해야 할까? 12. 장애 학생에게 어디에서부터 어디까지 가르쳐야 할까? 13. 체험학습, 학교 행사에 어떻게 참여시킬 수 있을까? 14. 병원이나 상담 치료를 받는 것이 도움이 될까? 장애를 가지고 있다는 것은 제가 경험할 수 없는 미지의 세계이기 때문에 대체 뭘 어떻게 해야할지 너무 막막하고 힘들고 다른 아이들한테도 너무 미안했습니다. 그런데 이 연수를 들어보니 그 동안의 궁금증이 풀리는 속 시원한 느낌이었습니다. 무엇보다 결코 제가 무능력하고 무기력한 교사가 아니었다는 것을 지지받고 위로 받고 격려 받는 느낌이었습니다. 와닿지도 않고 전혀 활용할 수도 없는 이론적이고 형식적인 연수가 아니라 진심으로 선배 교사로서 직접 현장에서 학생들을 지도해보신 경험과 노하우 이야기를 들려주시는 점이 참 좋았습니다. 엄청나고 화려하고 이상적이고 모범적인 방법이 아니라 실제로 나의 교실에서도 할 수 있는 쉽고 소소하지만 확실한 방법들이라 더 자신이 생겼습니다. 그리고 계속해서 실제로 어려운 일이라고, 지금도 잘 하고 있는 것이라고, 마음을 먹는 것만으로도 대단한 거라고 격려해주셔서 응원 받는 느낌이 들었고 힘이 생겼습니다. 또한 꼭 장애 학생을 대상으로 지도하는 방법이 아니라 학급 전체를 경영하는 철학, 모든 학생에게 일관되게 적용하는 원리를 중점적으로 방향을 잡아주셔서 더 공감이 되고 이해가 잘 되었습니다. ADHD나 난독증이나 발달 지연 학생들이나 정서나 심리적 어려움을 겪는 우리 모든 아이들, 다양한 아이들을 지도하시는 이 세상 모든 선생님들께 이 연수를 강력하게 추천합니다. 교안도 말씀하시는 내용을 전부 다 옮겨 주셔서 공부하기에도 더 좋았습니다. 이렇게 유익한 연수를 마련해주신 강사님과 아이스크림 연수원에게 진심으로 감사드립니다.",5,2024-06-10,75000
통합교육의 거의 모든 것,생활지도,30,첫 도움반 친구를 맡아 통합학급을 운영하게 되었습니다. 이 연수를 통해 조금의 자신감을 얻었습니다. 좋은 연수 마련해주셔서 감사합니다.,5,2024-05-22,75000
통합교육의 거의 모든 것,생활지도,30,"통합학급을 맡으면서 학생과 교사간 다향한 상황에서 해결할 수 있는 방법을 배운것 같다.,",5,2024-05-17,75000
통합교육의 거의 모든 것,생활지도,30,지금 우리 학교 특수학급 선생님깨서 하고 계신 것들이 거의 다 들어가 있네요. 훌륭한 연수입니다.,5,2024-05-07,75000
통합교육의 거의 모든 것,생활지도,30,학교 안전에 관한 모든것이 다 들어 있어 만족함,5,2024-05-07,75000
통합교육의 거의 모든 것,생활지도,30,"먼저 이 연수를 통해 통합교육을 운영하는데 많은 도움이 되었고 이런 유익한 연수를 수강할 수 있도록 연수 제작해 주신 관계자 분들께 감사하다는 말씀 전하고 싶습니다. 특히 각 과목(국어/수학/사회,과학/예체능)에 관련한 통합교육 지도에 관해 상세한 지도법을 알려 주셔서 도움이 많이 되었고 현장에서 지도시 정말 활용을 잘 할 것 같습니다. 따라서 저는 이 연수를 많은 선생님들께 추천하고 싶고 권장해 드리고 싶습니다. 좋은 연수 감사히 잘 받았습니다. 고맙습니다.",5,2024-05-02,75000
통합교육의 거의 모든 것,생활지도,30,"올해 통합학급을 처음 맡아 걱정과 두려움이 많았는데요, 연수를 통해 많은 도움과 용기를 얻었습니다. 통합학급운영이 막막한 선생님들께 추천드립니다.",5,2024-04-22,75000
통합교육의 거의 모든 것,생활지도,30,일반 학생에 비해 도움을 주어야한 하는 아이들로 알고 있었는데 같은 조건에서 최대한 같은 생활을 할 수 있도록 지지해야 할 필요성을 알게 되었습니다.,5,2024-04-22,75000
통합교육의 거의 모든 것,생활지도,30,통합교육에 대해 더 제대로 이해하게 됐습니다. 감사합니다,5,2024-04-18,75000
통합교육의 거의 모든 것,생활지도,30,통합교육은 무엇이고 통합교육을 통해 아이들이 어떤 영향을 받을 수 있는지 알 수 있는 유익한 시간이었습니다~!,5,2024-04-16,75000
통합교육의 거의 모든 것,생활지도,30,연수 제목이 딱딱하게 들리지 않았습니다. 완벽한 학생도 없듯이 조금 부족한 학생이라고 해서 색안경을 끼고 보거나 다른 잣대를 대며 차별화할 필요는 없겠지요. 이 연수를 교육현장에서 잘 적용하여 장애학생의 통합화 거의 모든 부분이 해소될 수 있기를 바래봅니다.,5,2024-04-02,75000
통합교육의 거의 모든 것,생활지도,30,학기초에 통합반 담임이 되어 막막할 때 도움이 되었던 연수입니다. 혼자서 고민하기 보다 전문가의 처방과 도움을 받아서 함께하는 반 구성원이 되도록 하겠습니다.~,5,2024-04-01,75000
통합교육의 거의 모든 것,생활지도,30,저학년을 다년 간 오래 지도하면서 통합학급을 운영하는 것에 대한 두려움이 있어 애써 먼저 선택하지 않았는데 점차 통합대상 학생들이 늘고 선택의 여지없이 모든 반에 통합학생들이 포함되어 처음으로 통합학급을 운영하게 되었습니다. 어쩌나 하는 막막한 마음과 여태 잘 해왔던 학급운영에 문제가 생기진 않을까하는 복잡한 마음이 들었던 3월 초를 지나고 [통합교육의 거의 모든 것] 연수를 들은 후 막막한 두려움이 사라지고 조금씩 자신감과 새로운 의욕이 생기게 해 준 고마운 연수입니다. 반복해서 듣고 머리와 가슴으로 새겨가며 더 좋은 학급을 운영해 보리라 다짐해 봅니다. ^^,5,2024-03-30,75000
통합교육의 거의 모든 것,생활지도,30,통합교육 학생이 2명이나 있어 어떻게 지도해야 할 지 막막했는데 매우 유익한 연수였습니다.,5,2024-03-28,75000
통합교육의 거의 모든 것,생활지도,30,법정 의무 교육 연수를 한 번에 수강할 수 있어서 너무 좋네요. 따로 들으려면 시간과 노력이 더 많이 필요한데 고맙습니다.,5,2024-03-21,75000
통합교육의 거의 모든 것,생활지도,30,"장애인을 바라보는 편견을 극복할 수 있는 좋은 기회가 되었고, 통합학급 운영에도 교사의 마인드를 새롭게 하는 계기가 되었습니다. 덕분에 감사했습니다. 행복하소서 ~~~~^^*",5,2024-03-15,75000
통합교육의 거의 모든 것,생활지도,30,유익한 연수였습니다.,5,2024-01-18,75000
통합교육의 거의 모든 것,생활지도,30,"현재 나의 교실에 통합교육을 하는 학생이 있어 더욱 관심있게 듣게 된 연수입니다. 아이를 좀 더 이해할 수 있고 어떻게 다가가며, 학급 학생들과 어울리게 할 수 있을 지 더 많이 고민해보고 아이디어와 기본 마인드를 새롭게 하는 시간이었습니다.",5,2024-01-17,75000
통합교육의 거의 모든 것,생활지도,30,통합교육을 시작하도록 만드는 마음가짐을 간단하게 짚어주는 연수였어요. 자세한 것은 더 공부하고 실제에서 만들어가야겠지만 장애를 가진 학생 뿐만 아니라 다른 아이들의 교육의 질을 위해서도 교사들이 꼭 가져야 할 마음가짐이라 생각합니다.,5,2023-12-23,75000
통합교육의 거의 모든 것,생활지도,30,"학교에서 매년 특수반 학생들이 들어오게 되어 통합교육 연수를 듣게 되었습니다. 특수반 학생들을 대함에 있어 늘 부담을 가지고 있었는데, 연수를 통해 마음의 짐을 조금은 덜 수 있게 된 것같습니다.. 유익한 정보와 지식을 많이 얻을 수 있는 연수라, 주변 선생님들께도 추천하고 싶습니다... 감사합니다.",5,2023-12-20,75000
SW&AI 코딩수업의 모든 것 - 언플러그드,ICT,15,수업활용에 많은 도움이 되었습니다. 이해하기 쉽게 기초부터 잘 배웠습니다.,5,2024-06-12,50000
정재승의 미래학교,학습지도,30,"정재승교수의 설명이 이해하기 쉬었으며, 많은 도움이 되었음",5,2024-06-12,75000
정재승의 미래학교,학습지도,30,막연한 미래의 학교모습을 그려볼수 있는 연수,5,2024-06-08,75000
정재승의 미래학교,학습지도,30,정재승 교수님의 강의 자체가 넘 차분하게 설명을 잘해주시고 어렵지 않게 내용을 전달해 주셔서 유익하였습니다.,5,2024-05-09,75000
정재승의 미래학교,학습지도,30,"하루하루 학교에서 주어진 일을 해내는 것만으로도 버거웠기 때문에, 그동안은 필수로 들어야 하는 연수나 아이들을 가르치는데 바로 적용할 수 있는 연수 위주로 들었습니다. 그런데 올해 시간적인 여유를 좀 가지게 되면서, ""나는 늘 뭔가 열심히 노력하고 있기는 하지만, 이게 맞는건가? 지금까지 해온대로 하면 되는건가?, 나는 앞으로 어떤 교사로 살아갈 것인가?'와 같은 조금은 큰 질문을 하게 되었습니다. 이 시기에 정재승 교수님의 미래학교 연수를 만나게 되었고, 내가 어떤 생각으로, 어떤 비전으로 아이들을 만나야 할 것인가에 대한 방향을 명확히 알게 되었습니다. 그리고 교사로서의 자존감이 서서히 무너지고 있던 차에, 그럼에도불구하고 여전히 아이들에게 학교와 교사의 역할이 얼마나 중요한가를 알게된 점도 좋았습니다. 감사합니다.^^",5,2024-05-03,75000
정재승의 미래학교,학습지도,30,시대의 흐름을 읽을 수 있는 유익한 연수었습니다. 아이들에게도 저에게도 이 시대를 어떻게 살아가야 할지 생각하게 되는 내용이네요.,5,2024-03-29,75000
정재승의 미래학교,학습지도,30,"정재승 박사님께서 미래교육에 대한 다양한 의견을 강의하듯이 들려주어 좋았습니다. 토크콘서트 같이 진행되는 연수가 다른 이론적 텍스트의 전달과 달리 이야기를 듣는 듯한 연수여서 좋았습니다. 들으면서 미래에 대한 교육이 변해야 한다는 것을 인지하였으나, 장애학생을 지도하는 특수교사 입장에서 어떻게 특수교육 현장에 도입해야 해야 하는지에 대한 고민이 있었습니다. 미래로 가면서 협업, 창의성 등이 강조되지만, 그쪽 분야는 정말 장애학생들에게 어려운 분야이기 때문이죠. 2024년은 미래교육 트렌드가 특수교육 현장에 어떤식으로 도입되어야 하는지 고민해 보는 한해가 될 것 같습니다.",5,2024-02-16,75000
정재승의 미래학교,학습지도,30,정재승 교수님의 강의가 돋보이는 연수 정말 재미있게 잘 듣고 갑니다. 감사드려요~~,5,2024-02-12,75000
정재승의 미래학교,학습지도,30,"언뜻 듣고 지나쳤던 뇌 과학, 4차 산업혁명, 인공지능에 대해 조금이나마 알 수 있었던 시간이었습니다.",5,2024-01-22,75000
정재승의 미래학교,학습지도,30,"정보화 초기 시절 윈도우 사용, 오피스 프로그램 활용 능력이 정보소양 판단의 척도였다면 요즘은 구글 활용 능력이다 라고 말할 수 있을 정도로 교육 현장에서 구글의 활용은 그 범위를 말하기 어려울 정도로 넓다는 것을 확인했던 연수였습니다. 또 실제로 광범위하게 활용되고 있기도 하므로 기능을 제대로 익혀서 '나도 활용해 봐야겠다'는 의지가 생깁니다. 또 스스로 구글 활용능력을 학습할 수 있는 단체를 알게 된 점도 좋았습니다. 그런데 말이지요, 학교 현장이 어느 정도의 강제성이 아니면 스스로 학습하기에는 너무나 점점 바빠지고 있다는 현실이 참으로 난감합니다. 입문자편을 들으면서 답답했던 점은 15시간이라는 짧은 시간 때문에 더 궁금한 점을 해소하기 어려웠다는 것입니다. 개인의 능력 탓이겠는지도 모르겠지만 구글 입문자로서 생소한 용어들이 연수를 마친 지금도 친숙하게 또는 정확하게 입력되지 않고 있습니다. 따라서 이 연수에 이이지는 중급자편을 개설해서 학습 기회도 제공하고, 이런 궁금증도 해소하여 활용 능력을 업그레이드할 수 있으면 좋겠습니다. 좋은 연수 개설해 주셔서 감사했습니다.",5,2024-01-17,75000
정재승의 미래학교,학습지도,30,아이들을 앞으로 어떻게 생각해야 할 지 도움을 받습니다.,5,2024-01-04,75000
정재승의 미래학교,학습지도,30,미래를 대비하기 위한 통찰,5,2024-01-03,75000
정재승의 미래학교,학습지도,30,재미있는 이탈리아 도시 여행 연수 잘 들었습니다. 이탈리아로 여행 가보고 싶네요,5,2023-12-31,75000
정재승의 미래학교,학습지도,30,우리의 역사를 바로 알고 배움으로써 우리 민족의 발자취를 함께 밝아보는 시간이 되었고 개인적으로 우리 민족의 자긍심과 기상을 다시 한번 일깨워준 유익한 시간 이였습니다.~~^^ 강추합니다~~,5,2023-12-27,75000
정재승의 미래학교,학습지도,30,앞으로 우리 아이들에게 어떤 교육을 해야 할지 조금은 알 것 같아서 뜻깊은 연수였습니다.,5,2023-12-27,75000
정재승의 미래학교,학습지도,30,"인간관계의 있어 가장 중요한 것이 평정심을 유지하는 것이며 인간이라면 누구나 상실의 아픔을 가지고 살 수 밖에 없다. 이 때 예술과 영화, 음악, 독서를 통해 자기 자신의 내면 치유를 하고 연속적인 상실의 늪에서 벗어나도록 노력해야 한다는 강의는 힘차게 살아갈 수 있는 힘을 준다고 생각합니다. 좋은 연수 감사합니다.",5,2023-12-19,75000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,챗GPT의 활용에 대해 고민해 보는 유익한 연수였습니다.,5,2024-06-12,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,다양한 인공지능 프로그램을 사용하면서 챗지피티로 아이디어를 상세화하는 과정을 직접 보여주셔서 수업에서 활용하는 방법에 대해 확실히 알게 되었다. 여러 소프트웨어 중에서도 특히 Pictory ai 활용과 ai 페인터 그리고 투닝으로 4컷 만화를 만들어보는 과정을 너무도 상세하고 자세하게 알려주셔서 쉽게 따라 할 수 있고 학생들과도 제작해볼 수 있게다는 자신감을 갖게 되었다. 그외 여러 최신 인공지능 소프트웨어도 체험해보는 소중한 시간이었다. ai시대를 살아갈 교사들에게 꼭 들어야하는 연수로 꼭 추천한다,5,2024-06-09,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,신규 교사로서 다양하고 실제성 있는 수업 예시와 자료가 많은 연수가 필요했습니다. 미래 교육에 대한 많은 정보와 아이디어를 얻을 수 있었던 좋은 연수였습니다.,5,2024-06-05,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,다양한 에듀테크 도구를 많이 접할 수 있어서 장단점을 미리 알고 내용에 맞게 선택할 수 있어서 좋았어요.,5,2024-05-13,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,해당 연수를 통해서 인공지능 수업에 대해 많이 알게 되었습니다.,5,2024-05-10,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,AI도구들을 수업에 바로 적용하기 좋은 실제적인 연수였습니다!,5,2024-05-10,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,"이 연수에서 안내 된 프로그램의 내용을 모두 이해하기는 쉽지 않았지만, 몇몇은 바로 활용해 보니 재미있었다. 아이들과의 수업에서도 활용할 수 있겠다 싶은데... 인공지능의 답변이 수준이 높으나 가짜 정보도 많아서 그 답변의 옳고 그름을 구별하는 법도 함께 잘 지도해야만 할 것 같아 활용 시도가 무겁다. 저작권 관련 지도도 철저히 다루어져야 할 것 같다.",5,2024-04-28,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,챗 GPT와 AI 챗봇을 활용한 다양한 수업에 대해 알게 되어 좋았습니다. 추천합니다.,5,2024-04-15,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,"익숙하지 않아서 확실히 좀 어려웠어요. 제가 익숙하지 않아서 수업에 잘 활용할 수 있을지 좀 걱정이 됩니다. 그래도 팅커벨도 노력해서 많이 사용했으니, 이것도 해보다보면 익숙해지겠지요. 잘 몰랐던 AI와 챗GPT에 대해 알아볼 수 있어서 유익한 연수였어요. 챗GPT에는 질문을 잘해야한다는 것을 알았고, 데이터를 수집할 때 유용하게 잘 활용할 수 있을 것 같아서 평소 관심있었던 분야에 대해 알아보는 시간을 가져보려고 합니다. 올해 3학년 담임인데, 테블릿을 활용해서 사회과 수업을 시작으로 해서 음악, 미술, 도덕, 국어, 창체로 조금씩 확장하여 사용해 보도록 하겠습니다.",5,2024-03-17,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,유익하고 즐거운 강의였습니다,5,2024-03-13,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,지금껏 들었던 AI관련 연수들중에서 그래도 가벼운 마음으로 쉽게 이해할 수 있는 개괄적인 진행과 연수 내용이 참 좋았습니다. 필요한 요점들을 정리한 이런 연수들이 30시간 이상 연수를 들으며 어렵게 이해하기보다는 좀더 쉽고 재미있었습니다.,5,2024-02-26,50000
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",학습지도,15,챗gpt 넘 핫한 내용! 재미있습니다.,5,2024-02-19,50000
